Identification Number,First Name,Last Name,Date of Birth,Address,Phone Number,Username,Password,User Type,Checking Account Number,Checking Starting Balance,Savings Account Number,Savings Starting Balance,Credit Account Number,Credit Max,Credit Starting Balance
64,Alexandra,Cook,07-Aug-04,"500 W. University Ave, El Paso, TX 79968",(915) 747-5027,alexandracook,Fun!23,Customer,1063,1506.74,2063,4347.22,3063,6487,-1050.73
44,Alexandra,Fox,17-Oct-53,"500 W. University Ave, El Paso, TX 79968",(915) 747-5007,alexandrafox,Fun!23,Customer,1043,355.39,2043,3764.74,3043,6698,-1452.54
81,Alexandra,Robinson,25-May-47,"500 W. University Ave, El Paso, TX 79968",(915) 747-5044,alexandrarobinson,Fun!23,Customer,1080,909.74,2080,342.74,3080,9400,-505.4
45,Alexandra,Simpson,22-Jun-89,"500 W. University Ave, El Paso, TX 79968",(915) 747-5008,alexandrasimpson,Fun!23,Customer,1044,1806.19,2044,1685.66,3044,9182,-1906.17
73,Alexis,Black,21-Oct-02,"500 W. University Ave, El Paso, TX 79968",(915) 747-5036,alexisblack,Fun!23,Customer,1072,1152.39,2072,2408.91,3072,9319,-160
66,Alexis,Ford,27-Jan-84,"500 W. University Ave, El Paso, TX 79968",(915) 747-5029,alexisford,Fun!23,Customer,1065,1942.67,2065,655.67,3065,4080,-1930.17
41,Alexis,Reta,30-Aug-32,"500 W. University Ave, El Paso, TX 79968",(915) 747-5004,alexisreta,Fun!23,Customer,1040,1169.49,2040,1375.06,3040,5166,-1725.64
82,Alexis,Shea,07-Oct-01,"500 W. University Ave, El Paso, TX 79968",(915) 747-5045,alexisshea,Fun!23,Customer,1081,731.6,2081,3235.49,3081,9172,-883.24
70,Ali,Nouri,21-Dec-09,"500 W. University Ave, El Paso, TX 79968",(915) 747-5033,alinouri,Fun!23,Customer,1069,623.42,2069,1691.78,3069,5351,-1966.94
22,Alicia,Jenkins,10-Mar-62,"1313 Disneyland Dr, Anaheim, CA 92802",(714) 781-4636,aliciajenkins,Fun!23,Customer,1021,1132.61,2021,4261.53,3021,7949,-319.71
71,Allison,Chang,14-Nov-07,"500 W. University Ave, El Paso, TX 79968",(915) 747-5034,allisonchang,Fun!23,Customer,1070,1450.22,2070,529.74,3070,8674,-689.71
4,Allison,Cross,05-Mar-51,"1313 Disneyland Dr, Anaheim, CA 92802",(714) 781-4636,allisoncross,Fun!23,Customer,1003,1456.69,2003,884.26,3003,8647,-141.39
5,Allison,Weaver,20-Mar-37,"1313 Disneyland Dr, Anaheim, CA 92802",(714) 781-4636,allisonweaver,Fun!23,Customer,1004,1549.67,2004,1622.73,3004,5415,-1289.68
6,Alyssa,Kelly,25-Aug-05,"1313 Disneyland Dr, Anaheim, CA 92802",(714) 781-4636,alyssakelly,Fun!23,Customer,1005,32.84,2005,3687.14,3005,8089,-1451.7
7,Alyssa,Poole,19-Aug-12,"1313 Disneyland Dr, Anaheim, CA 92802",(714) 781-4636,alyssapoole,Fun!23,Customer,1006,894.1,2006,4091.61,3006,3219,-53.21
8,Alyssa,Reese,03-Mar-47,"1313 Disneyland Dr, Anaheim, CA 92802",(714) 781-4636,alyssareese,Fun!23,Customer,1007,915.54,2007,2977.94,3007,7415,-4.16
9,Alyssa,Smith,15-Apr-70,"1313 Disneyland Dr, Anaheim, CA 92802",(714) 781-4636,alyssasmith,Fun!23,Customer,1008,1581.97,2008,729.5,3008,7822,-1810.55
10,Amanda,Baker,17-Nov-91,"1313 Disneyland Dr, Anaheim, CA 92802",(714) 781-4636,amandabaker,Fun!23,Customer,1009,633.94,2009,1087.1,3009,9736,-1797.38
11,Amanda,Johnson,11-Oct-28,"1313 Disneyland Dr, Anaheim, CA 92802",(714) 781-4636,amandajohnson,Fun!23,Customer,1010,140.78,2010,3431.15,3010,7398,-1989.22
12,Amanda,Miller,24-Oct-12,"1313 Disneyland Dr, Anaheim, CA 92802",(714) 781-4636,amandamiller,Fun!23,Bank Manager,,,,,,,
13,Amanda,Shepherd,19-Jan-09,"1313 Disneyland Dr, Anaheim, CA 92802",(714) 781-4636,amandashepherd,Fun!23,Bank Manager,,,,,,,
14,Angela,Carney,12-Jun-60,"1313 Disneyland Dr, Anaheim, CA 92802",(714) 781-4636,angelacarney,Fun!23,Bank Manager,,,,,,,
16,Angela,English,02-Apr-95,"1313 Disneyland Dr, Anaheim, CA 92802",(714) 781-4636,angelaenglish,Fun!23,Bank Manager,,,,,,,
20,Angela,Lang,16-Aug-98,"1313 Disneyland Dr, Anaheim, CA 92802",(714) 781-4636,angelalang,Fun!23,Bank Manager,,,,,,,
21,Angela,Mcintyre,05-Oct-54,"1313 Disneyland Dr, Anaheim, CA 92802",(714) 781-4636,angelamcintyre,Fun!23,Admin,,,,,,,
25,Angela,Walker,11-Aug-09,"1313 Disneyland Dr, Anaheim, CA 92802",(714) 781-4636,angelawalker,Fun!23,Admin,,,,,,,
28,Angelica,Bruce,22-Feb-69,"1313 Disneyland Dr, Anaheim, CA 92802",(714) 781-4636,angelicabruce,Fun!23,Admin,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
