Identification Number,First Name,Last Name,Date of Birth,Address,Phone Number,Username,Password,User Type,Checking Account Number,Checking Starting Balance,Savings Account Number,Savings Starting Balance,Credit Account Number,Credit Max,Credit Starting Balance
12,Amanda,Miller,24-Oct-12,"1313 Disneyland Dr, Anaheim, CA 92802",(714) 781-4636,amandamiller,Fun!23,Bank Manager,,,,,,,
13,Amanda,Shepherd,19-Jan-09,"1313 Disneyland Dr, Anaheim, CA 92802",(714) 781-4636,amandashepherd,Fun!23,Bank Manager,,,,,,,
14,Angela,Carney,12-Jun-60,"1313 Disneyland Dr, Anaheim, CA 92802",(714) 781-4636,angelacarney,Fun!23,Bank Manager,,,,,,,
79,Adam,Bass,05-Mar-39,"500 W. University Ave, El Paso, TX 79968",(915) 747-5042,adambass,Fun!23,Customer,1078,857.56,2078,3364.79,3078,7985.0,-786.93
80,Alex,Vega,25-Dec-18,"500 W. University Ave, El Paso, TX 79968",(915) 747-5043,alexvega,Fun!23,Customer,1079,362.4,2079,2413.6,3079,8357.0,-1911.51
16,Angela,English,02-Apr-95,"1313 Disneyland Dr, Anaheim, CA 92802",(714) 781-4636,angelaenglish,Fun!23,Bank Manager,,,,,,,
2000,Jordan,Rivera,14-Feb-01,"2201 N Oregon St, El Paso, TX 79902",(915) 555-0142,jordanrivera,wNTbBjHs6q,Customer,100000,0.0,100001,0.0,100002,278.0,0.0
81,Alexandra,Robinson,25-May-47,"500 W. University Ave, El Paso, TX 79968",(915) 747-5044,alexandrarobinson,Fun!23,Customer,1080,909.74,2080,342.74,3080,9400.0,-505.4
18,Aladdin,Disney,20-Jan-83,"1313 Disneyland Dr, Anaheim, CA 92802",(714) 781-4636,aladdindisney,Fun!23,Customer,1017,518.07,2017,2220.54,3017,3029.0,-406.48
82,Alexis,Shea,07-Oct-01,"500 W. University Ave, El Paso, TX 79968",(915) 747-5045,alexisshea,Fun!23,Customer,1081,731.6,2081,3235.49,3081,9172.0,-883.24
20,Angela,Lang,16-Aug-98,"1313 Disneyland Dr, Anaheim, CA 92802",(714) 781-4636,angelalang,Fun!23,Bank Manager,,,,,,,
21,Angela,Mcintyre,05-Oct-54,"1313 Disneyland Dr, Anaheim, CA 92802",(714) 781-4636,angelamcintyre,Fun!23,Admin,,,,,,,
22,Alicia,Jenkins,10-Mar-62,"1313 Disneyland Dr, Anaheim, CA 92802",(714) 781-4636,aliciajenkins,Fun!23,Customer,1021,1132.61,2021,4261.53,3021,7949.0,-319.71
25,Angela,Walker,11-Aug-09,"1313 Disneyland Dr, Anaheim, CA 92802",(714) 781-4636,angelawalker,Fun!23,Admin,,,,,,,
28,Angelica,Bruce,22-Feb-69,"1313 Disneyland Dr, Anaheim, CA 92802",(714) 781-4636,angelicabruce,Fun!23,Admin,,,,,,,
38,Alejandra,Morris,19-Oct-65,"500 W. University Ave, El Paso, TX 79968",(915) 747-5001,alejandramorris,Fun!23,Customer,1037,85.09,2037,516.33,3037,3484.0,-1827.58
39,Alexander,Kelly,13-Mar-01,"500 W. University Ave, El Paso, TX 79968",(915) 747-5002,alexanderkelly,Fun!23,Customer,1038,474.39,2038,3447.36,3038,3177.0,-866.29
41,Alexis,Reta,30-Aug-32,"500 W. University Ave, El Paso, TX 79968",(915) 747-5004,alexisreta,Fun!23,Customer,1040,1169.49,2040,1375.06,3040,5166.0,-1725.64
44,Alexandra,Fox,17-Oct-53,"500 W. University Ave, El Paso, TX 79968",(915) 747-5007,alexandrafox,Fun!23,Customer,1043,355.39,2043,3764.74,3043,6698.0,-1452.54
45,Alexandra,Simpson,22-Jun-89,"500 W. University Ave, El Paso, TX 79968",(915) 747-5008,alexandrasimpson,Fun!23,Customer,1044,1806.19,2044,1685.66,3044,9182.0,-1906.17
47,Alexander,Wilson,12-Jul-72,"500 W. University Ave, El Paso, TX 79968",(915) 747-5010,alexanderwilson,Fun!23,Customer,1046,519.88,2046,1812.87,3046,8798.0,-1863.49
48,Alexander,Carter,05-May-98,"500 W. University Ave, El Paso, TX 79968",(915) 747-5011,alexandercarter,Fun!23,Customer,1047,1076.98,2047,3271.72,3047,7772.0,-281.86
49,Adam,Maldonado,05-May-41,"500 W. University Ave, El Paso, TX 79968",(915) 747-5012,adammaldonado,Fun!23,Customer,1048,1845.56,2048,3352.49,3048,8899.0,-58.57
54,Alexander,Cameron,16-Sep-58,"500 W. University Ave, El Paso, TX 79968",(915) 747-5017,alexandercameron,Fun!23,Customer,1053,1734.37,2053,4768.87,3053,5352.0,-886.85
